"storage_C:\_%";"storage_C:\_GB";"cpu_Intel(R)-Xeon(R)-CPU-E5-2690-v3-@-2.60GHz_%";"storage_G:\_%";"storage_G:\_GB";"storage_D:\_%";"storage_D:\_GB";"ram_DDR4_%";"ram_DDR4_GB";"storage_E:\_GB";"storage_E:\_%";"storage_H:\_%";"storage_H:\_GB";"quantity_connections";"download";"upload";"timestamp"
63.9;446.4957084655762;3.7;79.1;57.6339111328125;16.3;931.5107383728027;39.1;47.904605865478516;1023.9980430603027;88.4;85.3;0.03099203109741211;0;2021.4280166625977;1031.9814443588257;"2025-04-24 00:55:24"
63.9;446.4957084655762;3.8;79.1;57.6339111328125;16.3;931.5107383728027;39.1;47.904605865478516;1023.9980430603027;88.4;85.3;0.03099203109741211;0;2021.5270261764526;1031.9989261627197;"2025-04-24 00:55:25"
63.9;446.4957084655762;17.1;79.1;57.6339111328125;16.3;931.5107383728027;39.2;47.904605865478516;1023.9980430603027;88.4;85.3;0.03099203109741211;0;2021.655221939087;1032.1633596420288;"2025-04-24 00:55:27"
63.9;446.4957084655762;12.6;79.1;57.6339111328125;16.3;931.5107383728027;39.2;47.904605865478516;1023.9980430603027;88.4;85.3;0.03099203109741211;0;2021.6937265396118;1032.4715967178345;"2025-04-24 00:55:28"
63.9;446.4957084655762;7.5;79.1;57.6339111328125;16.3;931.5107383728027;39.1;47.904605865478516;1023.9980430603027;88.4;85.3;0.03099203109741211;0;2021.7228174209595;1032.6486196517944;"2025-04-24 00:55:29"
63.9;446.4957084655762;4.8;79.1;57.6339111328125;16.3;931.5107383728027;39.1;47.904605865478516;1023.9980430603027;88.4;85.3;0.03099203109741211;0;2021.7326002120972;1032.6955404281616;"2025-04-24 00:55:30"
63.9;446.4957084655762;4.2;79.1;57.6339111328125;16.3;931.5107383728027;39.1;47.904605865478516;1023.9980430603027;88.4;85.3;0.03099203109741211;0;2021.7401838302612;1032.709496498108;"2025-04-24 00:55:31"
63.9;446.4957084655762;4.1;79.1;57.6339111328125;16.3;931.5107383728027;39.1;47.904605865478516;1023.9980430603027;88.4;85.3;0.03099203109741211;0;2021.7456722259521;1032.722454071045;"2025-04-24 00:55:32"
63.9;446.4957084655762;11.8;79.1;57.6339111328125;16.3;931.5107383728027;39.2;47.904605865478516;1023.9980430603027;88.4;85.3;0.03099203109741211;0;2021.7524557113647;1032.734624862671;"2025-04-24 00:55:33"
63.9;446.4957084655762;4.8;79.1;57.6339111328125;16.3;931.5107383728027;39.1;47.904605865478516;1023.9980430603027;88.4;85.3;0.03099203109741211;0;2021.7601099014282;1032.7424125671387;"2025-04-24 00:55:34"
63.9;446.4957084655762;9.5;79.1;57.6339111328125;16.3;931.5107383728027;39.1;47.904605865478516;1023.9980430603027;88.4;85.3;0.03099203109741211;0;2021.8310298919678;1032.7868309020996;"2025-04-24 00:55:35"
63.9;446.4957084655762;12.2;79.1;57.6339111328125;16.3;931.5107383728027;39.2;47.904605865478516;1023.9980430603027;88.4;85.3;0.03099203109741211;0;2021.8803358078003;1032.8623323440552;"2025-04-24 00:55:36"
63.9;446.4957084655762;14.6;79.1;57.6339111328125;16.3;931.5107383728027;39.2;47.904605865478516;1023.9980430603027;88.4;85.3;0.03099203109741211;0;2021.9451055526733;1033.0396575927734;"2025-04-24 00:55:37"
63.9;446.4957084655762;7.0;79.1;57.6339111328125;16.3;931.5107383728027;39.2;47.904605865478516;1023.9980430603027;88.4;85.3;0.03099203109741211;0;2021.9476461410522;1033.09281539917;"2025-04-24 00:55:38"
63.9;446.4957084655762;10.4;79.1;57.6339111328125;16.3;931.5107383728027;39.1;47.904605865478516;1023.9980430603027;88.4;85.3;0.03099203109741211;0;2021.9647045135498;1033.1258869171143;"2025-04-24 00:55:39"
63.9;446.4957084655762;3.7;79.1;57.6339111328125;16.3;931.5107383728027;39.1;47.904605865478516;1023.9980430603027;88.4;85.3;0.03099203109741211;0;2021.970983505249;1033.1380577087402;"2025-04-24 00:55:40"
63.9;446.4957084655762;3.4;79.1;57.6339111328125;16.3;931.5107383728027;39.1;47.904605865478516;1023.9980430603027;88.4;85.3;0.03099203109741211;0;2021.9720668792725;1033.1385011672974;"2025-04-24 00:55:42"
63.9;446.4957084655762;2.2;79.1;57.6339111328125;16.3;931.5107383728027;39.1;47.904605865478516;1023.9980430603027;88.4;85.3;0.03099203109741211;0;2021.981852531433;1033.163691520691;"2025-04-24 00:55:43"
63.9;446.4957084655762;4.9;79.1;57.6339111328125;16.3;931.5107383728027;39.1;47.904605865478516;1023.9980430603027;88.4;85.3;0.03099203109741211;0;2021.982850074768;1033.1641063690186;"2025-04-24 00:55:44"
63.9;446.4957084655762;8.9;79.1;57.6339111328125;16.3;931.5107383728027;39.1;47.904605865478516;1023.9980430603027;88.4;85.3;0.03099203109741211;0;2021.9833993911743;1033.164538383484;"2025-04-24 00:55:45"
63.9;446.4957084655762;2.9;79.1;57.6339111328125;16.3;931.5107383728027;39.1;47.904605865478516;1023.9980430603027;88.4;85.3;0.03099203109741211;0;2021.9967956542969;1033.1702489852905;"2025-04-24 00:55:46"
63.9;446.4957084655762;2.3;79.1;57.6339111328125;16.3;931.5107383728027;39.1;47.904605865478516;1023.9980430603027;88.4;85.3;0.03099203109741211;0;2021.9973239898682;1033.1707220077515;"2025-04-24 00:55:47"
